time,UV,sample
0.0,0.0,sample 1
0.010002500625156289,0.0,sample 1
0.020005001250312578,0.0,sample 1
0.030007501875468866,0.0,sample 1
0.040010002500625155,0.0,sample 1
0.05001250312578144,0.0,sample 1
0.06001500375093773,0.0,sample 1
0.07001750437609403,0.0,sample 1
0.08002000500125031,0.0,sample 1
0.0900225056264066,0.0,sample 1
0.10002500625156288,0.0,sample 1
0.11002750687671918,0.0,sample 1
0.12003000750187547,0.0,sample 1
0.13003250812703177,0.0,sample 1
0.14003500875218805,0.0,sample 1
0.15003750937734434,0.0,sample 1
0.16004001000250062,0.0,sample 1
0.1700425106276569,0.0,sample 1
0.1800450112528132,0.0,sample 1
0.19004751187796948,0.0,sample 1
0.20005001250312576,0.0,sample 1
0.21005251312828208,0.0,sample 1
0.22005501375343836,0.0,sample 1
0.23005751437859465,0.0,sample 1
0.24006001500375093,0.0,sample 1
0.25006251562890724,0.0,sample 1
0.26006501625406353,0.0,sample 1
0.2700675168792198,0.0,sample 1
0.2800700175043761,0.0,sample 1
0.2900725181295324,0.0,sample 1
0.30007501875468867,0.0,sample 1
0.31007751937984496,0.0,sample 1
0.32008002000500124,0.0,sample 1
0.3300825206301575,0.0,sample 1
0.3400850212553138,0.0,sample 1
0.3500875218804701,0.0,sample 1
0.3600900225056264,0.0,sample 1
0.37009252313078267,0.0,sample 1
0.38009502375593895,0.0,sample 1
0.39009752438109524,0.0,sample 1
0.4001000250062515,0.0,sample 1
0.41010252563140787,0.0,sample 1
0.42010502625656415,0.0,sample 1
0.43010752688172044,0.0,sample 1
0.4401100275068767,0.0,sample 1
0.450112528132033,0.0,sample 1
0.4601150287571893,0.0,sample 1
0.4701175293823456,0.0,sample 1
0.48012003000750186,0.0,sample 1
0.49012253063265815,0.0,sample 1
0.5001250312578145,0.0,sample 1
0.5101275318829708,0.0,sample 1
0.5201300325081271,0.0,sample 1
0.5301325331332833,0.0,sample 1
0.5401350337584396,0.0,sample 1
0.5501375343835959,0.0,sample 1
0.5601400350087522,0.0,sample 1
0.5701425356339085,0.0,sample 1
0.5801450362590648,0.0,sample 1
0.5901475368842211,0.0,sample 1
0.6001500375093773,0.0,sample 1
0.6101525381345336,0.0,sample 1
0.6201550387596899,0.0,sample 1
0.6301575393848462,0.0,sample 1
0.6401600400100025,0.0,sample 1
0.6501625406351588,0.0,sample 1
0.660165041260315,0.0,sample 1
